Game,Release,OGConsole
The Legend of Zelda,1987,Famicom Disk System
Zelda ll: The Adventure of Link,1988,Famicom Disk System
The Legend of Zelda: A Link to the Past,1992,SNES
The Legend of Zelda: Link's Awakening,1993,GameBoy
Link: Faces of Evil,1993,Phillips CD-i
Zelda: The Wand of Gamelon,1993,Phillips CD-i
The Legend of Zelda: Ocarina of Time,1998,Nintendo 64
The Legend of Zelda: Majora's Mask,2000,Nintendo 64
The Legend of Zelda: Oracle of Seasons,2001,GameBoy Color
The Legend of Zelda: Oracle of Ages,2001,GameBoy Color
The Legend of Zelda:  Four Swords,2002,GameBoy Advance
The Legend of Zelda: The Wind Waker,2003,Nintendo Gamecube
The Legend of Zelda: Four Swords Adventures,2004,Nintendo Gamecube
The Legend of Zelda: The Minish Cap,2005,Gameboy Advance
The Legend of Zelda: Twilight Princess,2006,Wii
The Legend of Zelda: Phantom Hourglass,2007,Nintendo DS
Link's Crossbow Training,2007,Wii
The Legend of Zelda: Spirit Tracks,2009,Nintendo DS
The Legend of Zelda: Skyward Sword,2011,Wii
The Legend of Zelda: A Link Between Worlds,2013,Nintendo 3DS
Hyrule Warriors,2014,WiiU
The Legend of Zelda: Tri Force Heroes,2015,Nintendo 3DS
The Legend of Zelda: Breath of the Wild,2017,Nintendo Switch
The Legend of Zelda: Breath of the Wild DLC,2017,Nintendo Switch
Hyrule Warriors: Age of Calamity,2020,Nintendo Switch
The Legend of Zelda: Tears of the Kingdom,2023,Nintendo Switch
